test result: ok. 37 passed; 0 failed; 0 ignored; 0 measured; 101 filtered out; finished in 0.84s
test result: ok. 37 passed; 0 failed; 0 ignored; 0 measured; 101 filtered out; finished in 0.83s
test result: ok. 37 passed; 0 failed; 0 ignored; 0 measured; 101 filtered out; finished in 0.84s
test result: ok. 37 passed; 0 failed; 0 ignored; 0 measured; 101 filtered out; finished in 0.83s
test result: ok. 37 passed; 0 failed; 0 ignored; 0 measured; 101 filtered out; finished in 0.84s
test result: ok. 37 passed; 0 failed; 0 ignored; 0 measured; 101 filtered out; finished in 0.85s
test result: ok. 37 passed; 0 failed; 0 ignored; 0 measured; 101 filtered out; finished in 0.84s
test result: ok. 37 passed; 0 failed; 0 ignored; 0 measured; 101 filtered out; finished in 0.84s
test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 0 filtered out; finished in 1.03s
test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 0 filtered out; finished in 1.02s
test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 0 filtered out; finished in 1.03s
test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 0 filtered out; finished in 1.03s
test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 0 filtered out; finished in 1.02s
